,molecule_chembl_id,canonical_smiles,mo_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,standard_value,Max Phase,approve_class
0,CHEMBL269775,CC(CN1CCCCC1)OC(=O)[C@@H]1CCCN1C(=O)C(=O)C(C)(C)C,inactive,352.475,2.0102,0,5,5,10000,0,non-approve
1,CHEMBL6683,CC(CN1CCCCC1)OC(=O)[C@@H]1CCCN1C(=O)C(=O)c1ccccc1,inactive,372.465,2.2779,0,5,5,10000,0,non-approve
2,CHEMBL7237,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,inactive,346.427,2.1636,0,5,5,10000,0,non-approve
3,CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,active,804.031,4.639,3,12,8.500038134,3.162,4,approve
4,CHEMBL266660,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1,inactive,395.477,1.6097,0,6,5,10000,0,non-approve
5,CHEMBL269154,O=C(C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1)c1ccccc1,inactive,366.417,2.4313,0,5,5,10000,0,non-approve
6,CHEMBL266941,CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1,inactive,395.477,1.6097,0,6,5,10000,0,non-approve
7,CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,active,914.187,6.1806,3,13,8.460046158,3.467,4,approve
8,CHEMBL6833,CC(C)CC(=O)C(=O)N1CCC[C@H]1C(=O)OC(C)CN1CCCCC1,inactive,352.475,2.0102,0,5,5,10000,0,non-approve
9,CHEMBL6449,CC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,inactive,346.427,2.1636,0,5,5,10000,0,non-approve
10,CHEMBL6809,O=C(C(=O)N1CCC[C@H]1C(=O)OCCS(=O)(=O)c1ccccc1)c1ccccc1,inactive,415.467,1.8774,0,6,5,10000,0,non-approve
11,CHEMBL6367,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)OCCCc1cccnc1,inactive,360.454,2.5537,0,5,4.680000027,20892.96,0,non-approve
12,CHEMBL435507,CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1,intermediate,295.338,3.1713,0,4,5.318758763,4800,0,non-approve
13,CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,intermediate,307.349,3.2966,0,4,5.602059991,2500,0,non-approve
14,CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,intermediate,281.311,2.7828,0,4,5.193820026,6400,0,non-approve
15,CHEMBL179242,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,intermediate,281.315,1.6843,0,5,5.27572413,5300,0,non-approve
16,CHEMBL188678,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,intermediate,413.498,5.6645,0,5,5.769551079,1700,0,non-approve
17,CHEMBL411735,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)OC)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,active,1021.343,8.1623,3,13,8.838631998,1.45,0,non-approve
18,CHEMBL265123,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)C2C[C@@](O)(C(=O)C(=O)N3CCCCC3C(=O)O[C@H](C(C)C[C@@H]3CC[C@@H](CC(=O)Nc4ccc(CCCC(=O)O)cc4)C(OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,active,1007.316,8.0739,4,12,8.725842151,1.88,0,non-approve
19,CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,active,428.437,2.5364,0,8,7.397940009,40,0,non-approve
20,CHEMBL371029,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)N[C@H](CCc2ccccc2)C(=O)NCC(=O)N(C)CC(=O)O[C@H]1C,active,672.776,0.4829,3,10,8.017728767,9.6,0,non-approve
